"bathrooms","bedrooms","latitude","livingArea","longitude","priceForHDP","taxAssessedValue","zipcode","priceinmil","lotArea"
3,4,34.971863,2998,-80.923004,749900,323573,29715,0.7499,130.68
3,3,37.815773,1722,-121.24561,555000,317102,95336,0.555,6.658
5,5,38.920856,2833,-77.01304,1589000,1282060,20001,1.589,2.032
3,3,35.080444,1633,-80.69876,335000,218700,28104,0.335,1.7424
3,3,40.3018,1692,-73.989494,579900,435100,7740,0.5799,6.45
4,4,39.240868,2458,-75.59611,430000,59600,19904,0.43,14.943
2,3,43.273254,1744,-85.3038,349900,252800,49326,0.3499,82.764
3,5,33.62166,2806,-84.65468,389900,240800,30213,0.3899,10.89
3,3,29.771788,1753,-95.40209,390000,365358,77007,0.39,2.121372
2,2,41.310745,1370,-96.0572,269900,200900,68134,0.2699,6.9696
2,5,34.043045,1900,-94.34353,190000,78300,71832,0.19,4.7916
1,1,21.055231,604,-156.8397,389000,201400,96748,0.389,0
6,6,35.107677,5483,-80.758316,1675000,880000,28105,1.675,16.5528
5,3,39.112026,1638,-77.20088,730000,691000,20878,0.73,1.576
3,4,48.24522,2504,-101.290245,239900,192000,58703,0.2399,5.6628
2,3,44.307747,1440,-121.14172,410000,227925,97756,0.41,109.771
1,3,39.476124,1525,-77.9702,280000,117100,25401,0.28,21.1
2,5,41.16366,1584,-112.133125,495000,323999,84315,0.495,27.4428
3,2,35.02476,1202,-80.976105,364900,198501,29708,0.3649,1.7424
2,3,37.243484,2084,-76.7765,389990,296000,23185,0.38999,22.52052
1,2,44.03589,700,-72.05656,149000,87800,3765,0.149,13.983
2,2,40.652447,1040,-111.93273,340000,219300,84123,0.34,0.4356
2,4,41.11387,2424,-104.82455,256000,287779,82007,0.256,6.72
1,2,48.226227,809,-101.23822,69900,81000,58701,0.0699,9.5832
3,4,35.015934,2352,-85.173294,364900,169900,37421,0.3649,16.1172
2,3,42.549168,1164,-84.8424,140000,66600,48813,0.14,7.49232
2,3,45.66584,992,-108.77765,250000,176200,59044,0.25,5.40144
2,4,29.697582,1793,-95.307274,305000,282635,77087,0.305,5.985144
3,4,45.43924,2432,-84.976234,459000,273800,49740,0.459,43.56
1,2,42.078884,672,-79.236244,74900,32189,14701,0.0749,6.934752
3,4,46.84439,3120,-96.92265,589900,282100,58078,0.5899,10.64
